Epoch 0 , SSIM 0.35941479401662946 , GDL 0.6529485313221812, TL 1.1461066734045744, DL 0.7828441350720823, DACC 95.99609375, DGACC 89.453125, COLORFULLNESS 0.13374335620028432 
Epoch 1 , SSIM 0.3633124460466206 , GDL 0.47686856624204665, TL 0.9417154332622886, DL 0.7221807085443288, DACC 95.849609375, DGACC 91.9677734375, COLORFULLNESS 0.1015344247862231 
Epoch 2 , SSIM 0.44213989237323403 , GDL 0.47805889055598527, TL 1.0481626242399216, DL 0.7310834010131657, DACC 90.087890625, DGACC 90.8203125, COLORFULLNESS 0.12796384633111302 
Epoch 3 , SSIM 0.5558488881215453 , GDL 0.3674928087275475, TL 1.0650862166658044, DL 0.49022573162801564, DACC 90.087890625, DGACC 98.828125, COLORFULLNESS 0.14174451828876045 
Epoch 4 , SSIM 0.4221388506703079 , GDL 0.3493021341273561, TL 0.8865157146938145, DL 0.44876126991584897, DACC 94.62890625, DGACC 99.8291015625, COLORFULLNESS 0.11507472973607946 
Epoch 5 , SSIM 0.43766949232667685 , GDL 0.2588508239714429, TL 0.7960431771352887, DL 0.44650936336256564, DACC 98.779296875, DGACC 99.8291015625, COLORFULLNESS 0.0995228638057597 
Epoch 6 , SSIM 0.4178876653313637 , GDL 0.299092082423158, TL 0.8250096589326859, DL 0.43878140952438116, DACC 96.77734375, DGACC 99.9267578125, COLORFULLNESS 0.1080299102322897 
Epoch 7 , SSIM 0.4868656089529395 , GDL 0.44419298239517957, TL 1.0508060157299042, DL 0.44962441828101873, DACC 87.109375, DGACC 99.7802734375, COLORFULLNESS 0.11974742272286676 
Epoch 8 , SSIM 0.5104211452417076 , GDL 0.42939026770181954, TL 1.057466792408377, DL 0.44768287241458893, DACC 85.302734375, DGACC 99.8291015625, COLORFULLNESS 0.11765538301551715 
Epoch 9 , SSIM 0.48818940157070756 , GDL 0.43202451698016375, TL 1.0348245706409216, DL 0.5214696859475225, DACC 85.302734375, DGACC 98.2177734375, COLORFULLNESS 0.11461065035837237 
Epoch 10 , SSIM 0.39308990351855755 , GDL 0.24271915887948126, TL 0.7272292282432318, DL 0.4789795936085284, DACC 98.974609375, DGACC 99.072265625, COLORFULLNESS 0.09142016361874994 
