Epoch 1 , PSNR 12.854727745056152, MAE 0.38008326292037964, SSIM -0.06945355981588364 , GDL 100.94895362854004, TL 14.174847602844238, DL 138.84997367858887 
Epoch 2 , PSNR 10.684711456298828, MAE 0.5081777572631836, SSIM -0.10269603878259659 , GDL 81.07858300209045, TL 11.900979042053223, DL 148.91860485076904 
Epoch 3 , PSNR 9.436019897460938, MAE 0.605373740196228, SSIM -0.1499587893486023 , GDL 72.01480865478516, TL 10.61158275604248, DL 166.61674976348877 
Epoch 4 , PSNR 8.514183044433594, MAE 0.6887401342391968, SSIM -0.17661520838737488 , GDL 72.6041316986084, TL 9.752349853515625, DL 175.4185676574707 
Epoch 5 , PSNR 8.238729476928711, MAE 0.716133713722229, SSIM -0.20302674174308777 , GDL 61.2679123878479, TL 9.364516258239746, DL 198.7019658088684 
Epoch 6 , PSNR 7.716531753540039, MAE 0.7679425477981567, SSIM -0.2448260486125946 , GDL 80.29128313064575, TL 9.042560577392578, DL 190.67859649658203 
Epoch 7 , PSNR 7.719658374786377, MAE 0.771680474281311, SSIM -0.24300019443035126 , GDL 84.0533971786499, TL 9.088872909545898, DL 187.72804737091064 
Epoch 8 , PSNR 7.451540470123291, MAE 0.7980424165725708, SSIM -0.2298538088798523 , GDL 72.9697048664093, TL 8.749425888061523, DL 160.49678325653076 
Epoch 1 , PSNR 6.548264131546021, MAE 0.9222082459926605, SSIM -0.2166475047916174 , GDL 103.20625698566437, TL 8.285887422561645, DL 161.29616487026215 
Epoch 2 , PSNR 6.075501985549927, MAE 0.9808136177062988, SSIM -0.24493825197219848 , GDL 134.63736349344254, TL 8.157750973701477, DL 124.03322440385818 
Epoch 3 , PSNR 6.198124957084656, MAE 0.962135459780693, SSIM -0.2317684942483902 , GDL 149.78397929668427, TL 8.426331748962403, DL 98.82842165231705 
Epoch 4 , PSNR 6.094281034469605, MAE 0.9757936435937882, SSIM -0.14419722080230712 , GDL 199.53096449375153, TL 8.921187133789063, DL 70.82975658774376 
Epoch 5 , PSNR 6.111629247665405, MAE 0.9745243525505066, SSIM -0.16153000749647617 , GDL 242.71326816082, TL 9.351756286621093, DL 55.966297924518585 
Epoch 6 , PSNR 6.181297125816346, MAE 0.9667888325452805, SSIM -0.1436993409693241 , GDL 262.82561337947845, TL 9.632642736434937, DL 54.849773585796356 
Epoch 7 , PSNR 6.155265879631043, MAE 0.9710261416435242, SSIM -0.1685815428197384 , GDL 295.95889711380005, TL 9.91729941368103, DL 50.061893075704575 
Epoch 8 , PSNR 6.185758476257324, MAE 0.9674097448587418, SSIM -0.12928825221955775 , GDL 296.8379204273224, TL 9.992259159088135, DL 49.47809958457947 
Epoch 9 , PSNR 6.143327589035034, MAE 0.9721936905384063, SSIM -0.09809262525290251 , GDL 314.91083574295044, TL 10.166536922454833, DL 48.944905787706375 
Epoch 10 , PSNR 6.16388240814209, MAE 0.969857606291771, SSIM -0.09108213245868683 , GDL 338.4667217731476, TL 10.4273250579834, DL 47.691462218761444 
Epoch 11 , PSNR 6.129971432685852, MAE 0.9729410481452941, SSIM -0.06538812674582005 , GDL 312.2948350906372, TL 10.16047269821167, DL 47.4802106320858 
