Epoch 0 , SSIM -0.04608755080029368 , GDL 1.18700267970562, TL 1.1409151309728622, DL 1.2456354206800462, DACC 24.90625, DGACC67.578125 
Epoch 1 , SSIM -0.12116671405732632 , GDL 1.578610330224037, TL 1.4574436128139496, DL 0.7761406189203263, DACC 12.843750000000002, DGACC90.890625 
Epoch 2 , SSIM -0.2930867955088615 , GDL 0.912912614941597, TL 0.6198258182406425, DL 1.2359187448024749, DACC 40.9375, DGACC68.390625 
Epoch 3 , SSIM -0.2462713186442852 , GDL 0.785884422659874, TL 0.5396131038665771, DL 1.344710067510605, DACC 45.28125, DGACC60.46875000000001 
Epoch 4 , SSIM -0.24543921872973443 , GDL 0.7595620942115784, TL 0.5141228771209717, DL 1.3909090781211852, DACC 48.25, DGACC55.625 
Epoch 5 , SSIM -0.24551767140626907 , GDL 0.7502649253606797, TL 0.5047472539544106, DL 1.399724452495575, DACC 48.4375, DGACC55.015625 
Epoch 6 , SSIM -0.2505206850171089 , GDL 0.7448233407735825, TL 0.4943026554584503, DL 1.4046949636936188, DACC 47.21875, DGACC54.359375 
Epoch 7 , SSIM -0.25355843380093573 , GDL 0.7511338192224503, TL 0.49757538676261903, DL 1.3901070189476012, DACC 47.09375, DGACC53.40625 
Epoch 8 , SSIM -0.2532154688239098 , GDL 0.7336612272262574, TL 0.4804457581043243, DL 1.4011219549179077, DACC 48.34375, DGACC53.140625 
Epoch 9 , SSIM -0.2541601786017418 , GDL 0.7297145092487335, TL 0.4755543306469917, DL 1.3973583996295929, DACC 46.75, DGACC53.28125 
Epoch 10 , SSIM -0.2500044265389442 , GDL 0.7405709552764893, TL 0.4905665278434753, DL 1.3821051502227784, DACC 46.6875, DGACC55.140625 
Epoch 11 , SSIM -0.25281291976571085 , GDL 0.7298730063438416, TL 0.4770600882172584, DL 1.38274512052536, DACC 47.53125, DGACC54.984375 
Epoch 12 , SSIM -0.25067041963338854 , GDL 0.7404528814554214, TL 0.48978246450424195, DL 1.375985187292099, DACC 44.625, DGACC55.640625 
Epoch 13 , SSIM -0.2482810753583908 , GDL 0.7404438322782516, TL 0.4921627593040466, DL 1.3746626102924346, DACC 46.15625, DGACC55.26562499999999 
Epoch 14 , SSIM -0.25280387565493584 , GDL 0.7394164323806762, TL 0.48661255598068237, DL 1.3762063121795653, DACC 45.84375, DGACC54.71875000000001 
Epoch 15 , SSIM -0.25452107325196266 , GDL 0.7519025468826294, TL 0.4973814743757248, DL 1.360111060142517, DACC 43.0, DGACC57.73437500000001 
Epoch 16 , SSIM -0.25386050119996073 , GDL 0.7414900052547455, TL 0.48762950450181963, DL 1.3674061858654023, DACC 44.3125, DGACC56.9375 
Epoch 17 , SSIM -0.2567689763009548 , GDL 0.746312313079834, TL 0.48954333752393725, DL 1.3518489325046539, DACC 43.09375, DGACC58.546875 
Epoch 18 , SSIM -0.25068151772022246 , GDL 0.7449336695671082, TL 0.494252150952816, DL 1.358594514131546, DACC 44.03125, DGACC57.23437500000001 
Epoch 19 , SSIM -0.25150561913847924 , GDL 0.7461084353923798, TL 0.4946028169989586, DL 1.3593357348442077, DACC 43.40625, DGACC57.06250000000001 
Epoch 20 , SSIM -0.2505972355604172 , GDL 0.7510468190908433, TL 0.5004495805501938, DL 1.3533505046367644, DACC 42.78125, DGACC58.421875 
Epoch 21 , SSIM -0.2503249716758728 , GDL 0.7567741990089416, TL 0.5064492240548134, DL 1.3445442807674408, DACC 40.71875, DGACC59.28125 
Epoch 22 , SSIM -0.25040343463420867 , GDL 0.7638496595621109, TL 0.5134462258219719, DL 1.3342149019241334, DACC 41.65625, DGACC60.046875 
Epoch 23 , SSIM -0.24990160316228865 , GDL 0.7502595853805542, TL 0.5003579825162887, DL 1.35499156832695, DACC 42.9375, DGACC58.078125 
Epoch 24 , SSIM -0.2517226028442383 , GDL 0.7580275148153305, TL 0.5063049131631852, DL 1.343550831079483, DACC 40.71875, DGACC59.8125 
Epoch 25 , SSIM -0.25173484325408935 , GDL 0.7710162615776062, TL 0.5192814174294472, DL 1.3259852743148803, DACC 39.75, DGACC61.3125 
Epoch 26 , SSIM -0.24785068035125732 , GDL 0.7683911198377609, TL 0.5205404406785965, DL 1.3296089720726014, DACC 42.125, DGACC60.546875 
Epoch 27 , SSIM -0.251782999932766 , GDL 0.7583459675312042, TL 0.5065629696846008, DL 1.3360005497932435, DACC 40.78125, DGACC59.765625 
Epoch 28 , SSIM -0.25014746278524397 , GDL 0.7636401706933975, TL 0.5134927099943161, DL 1.3370663714408875, DACC 40.65625, DGACC60.18750000000001 
Epoch 29 , SSIM -0.25118577003479003 , GDL 0.7621971327066421, TL 0.5110113623738289, DL 1.342783236503601, DACC 40.1875, DGACC59.71875 
Epoch 30 , SSIM -0.25047013625502584 , GDL 0.7669266635179519, TL 0.5164565280079841, DL 1.3379482460021972, DACC 41.375, DGACC59.51562500000001 
Epoch 31 , SSIM -0.25151955395936965 , GDL 0.76498100399971, TL 0.5134614479541778, DL 1.3382704520225526, DACC 40.59375, DGACC60.046875 
Epoch 32 , SSIM -0.2489725050330162 , GDL 0.7653754472732544, TL 0.5164029422402382, DL 1.339344117641449, DACC 41.28125, DGACC59.51562500000001 
Epoch 33 , SSIM -0.2503615622222424 , GDL 0.7721476048231125, TL 0.5217860412597656, DL 1.3284650838375092, DACC 39.4375, DGACC60.828125 
Epoch 34 , SSIM -0.2548718000948429 , GDL 0.7777143180370331, TL 0.5228425171971322, DL 1.3214162957668305, DACC 38.75, DGACC62.234375 
Epoch 35 , SSIM -0.25312757268548014 , GDL 0.7724982142448426, TL 0.5193706426024437, DL 1.3303647351264953, DACC 39.1875, DGACC61.671875 
Epoch 36 , SSIM -0.2493358187377453 , GDL 0.777078520655632, TL 0.5277427032589912, DL 1.3303939390182495, DACC 39.5625, DGACC60.34374999999999 
Epoch 37 , SSIM -0.25117321968078615 , GDL 0.7610427218675614, TL 0.5098695012927056, DL 1.3487381637096405, DACC 41.3125, DGACC58.265625 
Epoch 38 , SSIM -0.25000555828213694 , GDL 0.7666171365976333, TL 0.5166115799546241, DL 1.345147351026535, DACC 41.6875, DGACC59.29687500000001 
Epoch 39 , SSIM -0.2490710961818695 , GDL 0.778915810585022, TL 0.5298447135090828, DL 1.3304000961780549, DACC 40.625, DGACC60.421875 
Epoch 40 , SSIM -0.2499145632982254 , GDL 0.7811537545919418, TL 0.5312391898036003, DL 1.3214596700668335, DACC 39.34375, DGACC60.765625 
Epoch 41 , SSIM -0.2493799915909767 , GDL 0.7780244284868241, TL 0.5286444360017777, DL 1.3360762155056, DACC 40.03125, DGACC59.8125 
Epoch 42 , SSIM -0.25143412828445433 , GDL 0.7719313663244247, TL 0.520497237443924, DL 1.33984565615654, DACC 39.15625, DGACC59.59375 
Epoch 43 , SSIM -0.24899147033691407 , GDL 0.7912248229980469, TL 0.5422333544492721, DL 1.326021182537079, DACC 39.28125, DGACC60.68750000000001 
Epoch 44 , SSIM -0.24818748876452446 , GDL 0.7740919327735901, TL 0.5259044408798218, DL 1.3391774606704712, DACC 39.21875, DGACC59.890625 
Epoch 45 , SSIM -0.24774412885308267 , GDL 0.770674929022789, TL 0.5229308009147644, DL 1.333867073059082, DACC 39.75, DGACC60.109375 
Epoch 46 , SSIM -0.24925190776586534 , GDL 0.7807212519645691, TL 0.531469341814518, DL 1.3267260551452638, DACC 38.875, DGACC61.03125 
Epoch 47 , SSIM -0.24786461874842644 , GDL 0.7883985531330109, TL 0.540533937215805, DL 1.3385879409313202, DACC 38.28125, DGACC60.4375 
Epoch 48 , SSIM -0.24989524975419045 , GDL 0.7777721124887467, TL 0.527876863181591, DL 1.3363971602916718, DACC 39.6875, DGACC59.34374999999999 
Epoch 49 , SSIM -0.24874796494841575 , GDL 0.784340940117836, TL 0.5355929744243622, DL 1.3250788140296936, DACC 39.03125, DGACC61.15625 
Epoch 50 , SSIM -0.24835255071520806 , GDL 0.7719222742319107, TL 0.5235697227716446, DL 1.3433404684066772, DACC 41.25, DGACC59.375 
Epoch 51 , SSIM -0.24973259449005128 , GDL 0.7749946540594101, TL 0.5252620616555214, DL 1.3399616229534148, DACC 40.125, DGACC59.62499999999999 
Epoch 52 , SSIM -0.24999089494347573 , GDL 0.7838521659374237, TL 0.5338612714409828, DL 1.3255292403697967, DACC 38.625, DGACC61.57812499999999 
Epoch 53 , SSIM -0.25167199715971944 , GDL 0.7807356292009353, TL 0.5290636307001114, DL 1.3363825631141664, DACC 40.125, DGACC60.09375 
Epoch 54 , SSIM -0.2513853883743286 , GDL 0.7788416719436646, TL 0.5274562856554985, DL 1.3379731917381286, DACC 39.5625, DGACC59.56249999999999 
Epoch 55 , SSIM -0.2518842628598213 , GDL 0.7798434108495712, TL 0.5279591464996338, DL 1.3317871594429016, DACC 39.78125, DGACC59.68750000000001 
Epoch 56 , SSIM -0.2497463196516037 , GDL 0.7941001772880554, TL 0.5443538573384284, DL 1.3256194615364074, DACC 39.375, DGACC60.5625 
Epoch 57 , SSIM -0.2500112664699554 , GDL 0.7837954550981522, TL 0.5337841898202896, DL 1.3272315847873688, DACC 37.71875, DGACC61.25000000000001 
Epoch 58 , SSIM -0.24939505204558374 , GDL 0.7805241996049881, TL 0.531129146516323, DL 1.338100049495697, DACC 39.75, DGACC60.5 
Epoch 59 , SSIM -0.24849344596266745 , GDL 0.7831442177295684, TL 0.5346507722139359, DL 1.3349118781089784, DACC 39.4375, DGACC60.171875 
Epoch 60 , SSIM -0.24851406127214432 , GDL 0.7869900512695313, TL 0.5384759902954102, DL 1.3344053995609284, DACC 39.5, DGACC60.0 
Epoch 61 , SSIM -0.2526954805850983 , GDL 0.7743364143371582, TL 0.5216409319639206, DL 1.3392507708072663, DACC 39.71875, DGACC59.95312499999999 
Epoch 62 , SSIM -0.24952183425426483 , GDL 0.7729604518413544, TL 0.5234386178851128, DL 1.340635095834732, DACC 40.125, DGACC60.18750000000001 
Epoch 63 , SSIM -0.2504452684521675 , GDL 0.7901391553878784, TL 0.5396938881278038, DL 1.339951261281967, DACC 40.1875, DGACC60.0 
Epoch 64 , SSIM -0.2499222120642662 , GDL 0.7894220072031021, TL 0.539499796628952, DL 1.327489242553711, DACC 38.78125, DGACC61.453125 
Epoch 65 , SSIM -0.250516739487648 , GDL 0.7835642504692077, TL 0.5330475077033043, DL 1.3259301245212556, DACC 40.78125, DGACC60.484375 
Epoch 66 , SSIM -0.2541982336342335 , GDL 0.7896176338195801, TL 0.5354194012284279, DL 1.320392428636551, DACC 37.125, DGACC61.51562499999999 
Epoch 67 , SSIM -0.24963626638054848 , GDL 0.7902355045080185, TL 0.5405992358922959, DL 1.3224132788181304, DACC 38.0625, DGACC61.625 
Epoch 68 , SSIM -0.25265150517225266 , GDL 0.7862028062343598, TL 0.5335513013601303, DL 1.3295246839523316, DACC 38.78125, DGACC61.28125 
Epoch 69 , SSIM -0.2507945230603218 , GDL 0.8100065964460373, TL 0.559212076663971, DL 1.3116627323627472, DACC 36.78125, DGACC62.515625 
Epoch 70 , SSIM -0.25152055263519285 , GDL 0.8128698366880417, TL 0.5613492807745933, DL 1.3154447281360626, DACC 37.4375, DGACC61.484375 
Epoch 71 , SSIM -0.25227335944771767 , GDL 0.7852194786071778, TL 0.5329461187124253, DL 1.3268381357192993, DACC 39.03125, DGACC60.85937500000001 
Epoch 72 , SSIM -0.252439284324646 , GDL 0.7978528994321823, TL 0.5454136124253273, DL 1.317775319814682, DACC 38.15625, DGACC62.31250000000001 
Epoch 73 , SSIM -0.25110760763287543 , GDL 0.7951189458370209, TL 0.5440113371610642, DL 1.3221772265434266, DACC 36.875, DGACC61.609375 
Epoch 74 , SSIM -0.251122861802578 , GDL 0.8106880408525466, TL 0.5595651775598526, DL 1.2979539024829865, DACC 35.5625, DGACC63.609375 
Epoch 75 , SSIM -0.24950122863054275 , GDL 0.7991873759031296, TL 0.5496861439943314, DL 1.3242390370368957, DACC 39.875, DGACC61.07812500000001 
