Epoch 0 , MSE 0.10465032827109098 , SSIM -0.5046685975044966 , GDL 0.5305488485097886, TL 0.13053057849407196, DL 0.9363270282745362, DACC 95.75, DGACC84.78125 
Epoch 1 , MSE 0.064897152595222 , SSIM -0.6604364949464798 , GDL 0.29886559531092644, TL -0.29667374640703204, DL 0.45454995036125184, DACC 98.4375, DGACC99.90625 
Epoch 2 , MSE 0.04458625450730324 , SSIM -0.7164172148704528 , GDL 0.23248787075281144, TL -0.4393430918455124, DL 0.41911526054143905, DACC 99.0625, DGACC99.9375 
Epoch 3 , MSE 0.06542342172935606 , SSIM -0.6639295959472656 , GDL 0.30698106735944747, TL -0.2915251073241234, DL 0.43030484318733214, DACC 95.5, DGACC99.78125 
Epoch 4 , MSE 0.05153719812631607 , SSIM -0.5984164130687714 , GDL 0.22517681285738944, TL -0.321702401638031, DL 0.43255405068397523, DACC 99.75, DGACC99.65625 
Epoch 5 , MSE 0.03415278147906065 , SSIM -0.6699509525299072 , GDL 0.2121800284087658, TL -0.42361814141273496, DL 0.4142854252457619, DACC 100.0, DGACC99.9375 
Epoch 6 , MSE 0.032138985581696033 , SSIM -0.6852551627159119 , GDL 0.2151035663485527, TL -0.43801261007785797, DL 0.41250320225954057, DACC 100.0, DGACC99.96875 
Epoch 7 , MSE 0.10576365599408746 , SSIM -0.6059612491726876 , GDL 0.44549491673707964, TL -0.05470267355442047, DL 0.47614321738481524, DACC 96.5625, DGACC98.40625 
Epoch 8 , MSE 0.1039466417580843 , SSIM -0.5523994877934456 , GDL 0.30982096746563914, TL -0.1386318764090538, DL 0.42370560437440874, DACC 97.0, DGACC99.90625 
Epoch 9 , MSE 0.05535605695098639 , SSIM -0.6038324922323227 , GDL 0.22147825226187706, TL -0.3269981828331947, DL 0.4105686238408089, DACC 100.0, DGACC100.0 
Epoch 10 , MSE 0.09164675939828157 , SSIM -0.5390671166777611 , GDL 0.32410727635025977, TL -0.1233130818605423, DL 0.41183422625064847, DACC 96.1875, DGACC100.0 
Epoch 11 , MSE 0.06660832542926073 , SSIM -0.6139053726196289 , GDL 0.23004331260919572, TL -0.31725373476743696, DL 0.4072758790850639, DACC 100.0, DGACC100.0 
Epoch 12 , MSE 0.06322724811732769 , SSIM -0.5917083245515823 , GDL 0.2512600992619991, TL -0.2772209772467613, DL 0.4071666759252548, DACC 99.8125, DGACC100.0 
Epoch 13 , MSE 0.06282971352338791 , SSIM -0.5717098101973533 , GDL 0.29922395914793015, TL -0.20965613514184953, DL 0.411260986328125, DACC 95.6875, DGACC99.96875 
Epoch 14 , MSE 0.08939211640506983 , SSIM -0.5104587748646736 , GDL 0.33887616321444514, TL -0.08219049543142319, DL 0.4281566670536995, DACC 94.0625, DGACC99.90625 
Epoch 15 , MSE 0.09176538825035095 , SSIM -0.5674206340312957 , GDL 0.252457162886858, TL -0.22319808334112168, DL 0.408366479575634, DACC 100.0, DGACC99.96875 
Epoch 16 , MSE 0.10051806151866913 , SSIM -0.5474977812170982 , GDL 0.29842944800853727, TL -0.14855027198791504, DL 0.4089509564638138, DACC 96.6875, DGACC100.0 
Epoch 17 , MSE 0.1001513034850359 , SSIM -0.5812735015153885 , GDL 0.26034104838967326, TL -0.22078114926815032, DL 0.4069554156064987, DACC 100.0, DGACC99.96875 
Epoch 18 , MSE 0.07352339509874582 , SSIM -0.6106013256311417 , GDL 0.25949259504675865, TL -0.2775853356719017, DL 0.4044264176487923, DACC 100.0, DGACC100.0 
Epoch 19 , MSE 0.08316223163157702 , SSIM -0.5373355695605277 , GDL 0.3650452899932861, TL -0.08912804692983628, DL 0.412255180478096, DACC 92.9375, DGACC99.9375 
Epoch 20 , MSE 0.09815555240958929 , SSIM -0.6116789513826371 , GDL 0.2790695595741272, TL -0.23445383965969085, DL 0.4092977279424667, DACC 99.8125, DGACC100.0 
Epoch 21 , MSE 0.093324059471488 , SSIM -0.629694020152092 , GDL 0.2926448018848896, TL -0.24372515887022017, DL 0.40369555324316025, DACC 100.0, DGACC100.0 
Epoch 22 , MSE 0.07346717685461045 , SSIM -0.6485795849561691 , GDL 0.2773800675570965, TL -0.29773233979940417, DL 0.40262147277593613, DACC 100.0, DGACC100.0 
Epoch 23 , MSE 0.0646954733878374 , SSIM -0.6571820944547653 , GDL 0.29342325568199157, TL -0.29906336456537247, DL 0.40247127443552017, DACC 100.0, DGACC100.0 
Epoch 24 , MSE 0.06704252395778894 , SSIM -0.5781821781396865 , GDL 0.3207657860219479, TL -0.19037386775016785, DL 0.40329714864492416, DACC 98.8125, DGACC100.0 
Epoch 25 , MSE 0.07274463035166263 , SSIM -0.5091844254732132 , GDL 0.3146171994507313, TL -0.12182259559631348, DL 0.41023036897182463, DACC 98.5, DGACC99.96875 
Epoch 26 , MSE 0.1000249994546175 , SSIM -0.5725120261311532 , GDL 0.3246959166228771, TL -0.147791109085083, DL 0.40606803596019747, DACC 99.9375, DGACC100.0 
Epoch 27 , MSE 0.0971160352230072 , SSIM -0.546844869852066 , GDL 0.31085041016340254, TL -0.1388784244656563, DL 0.4078811672329903, DACC 98.8125, DGACC100.0 
Epoch 28 , MSE 0.13043604508042336 , SSIM -0.48380170002579687 , GDL 0.4900668127834797, TL 0.1367011559009552, DL 0.4176286429166794, DACC 94.75, DGACC99.9375 
Epoch 29 , MSE 0.1141277589648962 , SSIM -0.6370075583457947 , GDL 0.24334591627120972, TL -0.2795338836312294, DL 0.4037138682603836, DACC 100.0, DGACC100.0 
Epoch 30 , MSE 0.19123852387070656 , SSIM -0.5308625221252441 , GDL 0.4184628650546074, TL 0.07883886694908142, DL 0.40218561559915544, DACC 98.625, DGACC100.0 
Epoch 31 , MSE 0.09788928037509322 , SSIM -0.32639484405517577 , GDL 0.37533024296164513, TL 0.14682468086481093, DL 0.40993603587150573, DACC 95.4375, DGACC99.96875 
Epoch 32 , MSE 0.03889183081686497 , SSIM -0.495296842455864 , GDL 0.31043990686535833, TL -0.14596510648727418, DL 0.4111049374938011, DACC 98.0, DGACC100.0 
Epoch 33 , MSE 0.04394488722085953 , SSIM -0.6321191614866257 , GDL 0.30188257902860643, TL -0.28629169434309004, DL 0.4041036841273308, DACC 100.0, DGACC100.0 
Epoch 34 , MSE 0.028336403165012597 , SSIM -0.6631132137775421 , GDL 0.2459454306960106, TL -0.38883138209581375, DL 0.4030084601044655, DACC 100.0, DGACC100.0 
Epoch 35 , MSE 0.027410287912935018 , SSIM -0.6976896303892136 , GDL 0.2481839920580387, TL -0.42209535002708437, DL 0.4031423103809357, DACC 100.0, DGACC100.0 
Epoch 36 , MSE 0.04246336948126554 , SSIM -0.6829686921834945 , GDL 0.26559723287820813, TL -0.3749080881476402, DL 0.4030313062667847, DACC 99.9375, DGACC100.0 
Epoch 37 , MSE 0.055897786878049374 , SSIM -0.688400360941887 , GDL 0.31039493054151535, TL -0.32210764437913897, DL 0.40308360815048216, DACC 96.8125, DGACC100.0 
Epoch 38 , MSE 0.0441525911539793 , SSIM -0.7145082813501358 , GDL 0.2846687047183514, TL -0.3856869834661484, DL 0.40061272352933885, DACC 100.0, DGACC100.0 
Epoch 39 , MSE 0.037384367920458315 , SSIM -0.7049212807416916 , GDL 0.2900088429450989, TL -0.37752806961536406, DL 0.4005380266904831, DACC 100.0, DGACC100.0 
Epoch 40 , MSE 0.03674332255497575 , SSIM -0.6939198195934295 , GDL 0.3046120515465736, TL -0.35256444454193114, DL 0.4010030108690262, DACC 100.0, DGACC100.0 
Epoch 41 , MSE 0.03719010327011347 , SSIM -0.6818248158693314 , GDL 0.3172578212618828, TL -0.32737689137458803, DL 0.4009427359700203, DACC 100.0, DGACC100.0 
Epoch 42 , MSE 0.03283345099538565 , SSIM -0.6629081541299819 , GDL 0.3796980679035187, TL -0.2503766366839409, DL 0.40188597768545153, DACC 100.0, DGACC100.0 
