Epoch 1 , PSNR 6.061433501243592, MAE 0.9823094111680984, SSIM -0.19905828848481177 , GDL 1.4134657377004622, TL 8.2581502866745, DL 1.2148101180791855, DACC 72.28125, DGACC23.4375 
Epoch 2 , PSNR 6.074455771446228, MAE 0.9800572699308395, SSIM -0.17917383164167405 , GDL 1.5759523618221283, TL 8.451291584968567, DL 0.9763990318775178, DACC 82.78125, DGACC18.4375 
Epoch 4 , PSNR 6.273440761566162, MAE 0.9530449032783508, SSIM -0.11528443899005651 , GDL 2.0819229090213778, TL 9.19312412261963, DL 0.6970594441890716, DACC 92.15625, DGACC9.0625 
Epoch 5 , PSNR 6.298460297584533, MAE 0.9500148284435272, SSIM -0.14117912590503692 , GDL 2.4453873586654664, TL 9.552683334350586, DL 0.5824822297692299, DACC 96.28125, DGACC4.125 
Epoch 6 , PSNR 6.27255352973938, MAE 0.9511740982532502, SSIM -0.09454023607075214 , GDL 2.626504638195038, TL 9.755692014694214, DL 0.5552584582567215, DACC 96.96875, DGACC3.5000000000000004 
Epoch 7 , PSNR 6.387083368301392, MAE 0.9352009189128876, SSIM -0.09892365127801896 , GDL 2.6097004580497742, TL 9.833061046600342, DL 0.5565456131100655, DACC 96.625, DGACC4.0 
Epoch 8 , PSNR 6.364143090248108, MAE 0.9387490403652191, SSIM -0.11287305139005184 , GDL 2.9434917163848877, TL 10.133510780334472, DL 0.5227782037854195, DACC 97.625, DGACC2.5625 
Epoch 9 , PSNR 6.454508390426636, MAE 0.9263391757011413, SSIM -0.1255745730549097 , GDL 2.9448195195198057, TL 10.200092573165893, DL 0.5156306448578835, DACC 98.03125, DGACC2.5625 
Epoch 10 , PSNR 6.490130949020386, MAE 0.9239280033111572, SSIM -0.2008620860427618 , GDL 3.055279474258423, TL 10.268476295471192, DL 0.5080349367856979, DACC 98.15625, DGACC1.9375 
Epoch 11 , PSNR 6.602663192749024, MAE 0.9068353742361068, SSIM -0.1293801662325859 , GDL 3.0628720808029173, TL 10.442990474700927, DL 0.5057009536027909, DACC 98.15625, DGACC1.9375 
Epoch 12 , PSNR 6.694419617652893, MAE 0.8920333260297775, SSIM -0.12955879747867585 , GDL 2.9541360402107237, TL 10.411030168533324, DL 0.510987993478775, DACC 98.125, DGACC1.8124999999999998 
Epoch 13 , PSNR 6.792289557456971, MAE 0.8788773816823959, SSIM -0.09847031116485595 , GDL 2.987763409614563, TL 10.560460014343262, DL 0.49956164866685865, DACC 98.8125, DGACC1.375 
Epoch 14 , PSNR 6.73166856765747, MAE 0.8878613048791886, SSIM -0.12369033791124821 , GDL 3.060824308395386, TL 10.556663818359375, DL 0.5058466720581055, DACC 98.5, DGACC1.4375 
Epoch 15 , PSNR 6.894068603515625, MAE 0.8673335361480713, SSIM -0.05971556782722473 , GDL 3.007502844333649, TL 10.709189443588256, DL 0.5006495669484139, DACC 98.53125, DGACC1.6875 
Epoch 16 , PSNR 6.9225365161895756, MAE 0.8600601875782012, SSIM -0.03189314681105316 , GDL 3.0202432513237, TL 10.77094672203064, DL 0.4875306409597397, DACC 99.21875, DGACC0.625 
Epoch 17 , PSNR 6.978473663330078, MAE 0.8519528263807297, SSIM -0.03255564123392105 , GDL 3.130847737789154, TL 10.928718681335448, DL 0.47332553923130033, DACC 99.5, DGACC0.375 
Epoch 18 , PSNR 6.9956866979599, MAE 0.8505750149488449, SSIM -0.06287987697869539 , GDL 3.1334697127342226, TL 10.916851558685302, DL 0.4724575501680374, DACC 99.4375, DGACC0.375 
Epoch 19 , PSNR 6.6682221841812135, MAE 0.8978869032859802, SSIM -0.29966618567705156 , GDL 3.2202297902107238, TL 10.486672706604004, DL 0.46044633358716963, DACC 99.78125, DGACC0.0625 
Epoch 20 , PSNR 6.769694652557373, MAE 0.8849596047401428, SSIM -0.3045695286989212 , GDL 3.262980480194092, TL 10.613065252304077, DL 0.45489741027355196, DACC 99.90625, DGACC0.125 
Epoch 21 , PSNR 6.919384808540344, MAE 0.86694296002388, SSIM -0.24235059663653374 , GDL 3.168122010231018, TL 10.712099113464355, DL 0.4602536967396736, DACC 99.6875, DGACC0.125 
Epoch 22 , PSNR 6.910263385772705, MAE 0.8649319660663605, SSIM -0.15484782412648201 , GDL 3.1339247894287108, TL 10.754272336959838, DL 0.45068599939346315, DACC 99.8125, DGACC0.0625 
Epoch 23 , PSNR 7.180013318061828, MAE 0.8257157528400421, SSIM -0.04339850168675184 , GDL 2.989863460063934, TL 10.95219404220581, DL 0.4545232692360878, DACC 99.6875, DGACC0.3125 
Epoch 24 , PSNR 7.236625943183899, MAE 0.8177091306447983, SSIM -0.025174759412184358 , GDL 3.0925838351249695, TL 11.121744136810303, DL 0.4514241206645966, DACC 99.875, DGACC0.0625 
Epoch 25 , PSNR 6.840532093048096, MAE 0.8751472425460816, SSIM -0.17692248173058034 , GDL 3.1953365659713744, TL 10.73409345626831, DL 0.44587300896644594, DACC 99.8125, DGACC0.125 
Epoch 26 , PSNR 6.779285912513733, MAE 0.8824753761291504, SSIM -0.1846681323647499 , GDL 3.1411136746406556, TL 10.618206825256348, DL 0.440376443862915, DACC 99.875, DGACC0.0 
Epoch 27 , PSNR 6.827263517379761, MAE 0.8775576013326645, SSIM -0.17817506343126296 , GDL 3.1084976744651795, TL 10.635143775939941, DL 0.43675851613283156, DACC 99.9375, DGACC0.0 
Epoch 28 , PSNR 7.1080153369903565, MAE 0.8440479862689972, SSIM -0.20848938807845116 , GDL 3.042297670841217, TL 10.785871686935424, DL 0.4419025644659996, DACC 99.84375, DGACC0.0 
Epoch 29 , PSNR 6.961831374168396, MAE 0.8637368649244308, SSIM -0.22595243483781816 , GDL 3.099773557186127, TL 10.69938934326172, DL 0.4358063697814941, DACC 99.96875, DGACC0.0 
Epoch 30 , PSNR 6.980612826347351, MAE 0.8606646072864532, SSIM -0.16481319978833198 , GDL 3.072051422595978, TL 10.74851565361023, DL 0.43396095782518385, DACC 99.875, DGACC0.0625 
Epoch 31 , PSNR 6.926062664985657, MAE 0.8643748438358307, SSIM -0.09437174132093787 , GDL 3.054215712547302, TL 10.750281457901002, DL 0.43305290669202806, DACC 99.9375, DGACC0.0 
Epoch 32 , PSNR 7.03880820274353, MAE 0.8475232297182083, SSIM -0.08918242217041553 , GDL 2.9596395659446717, TL 10.756788511276245, DL 0.43751564860343933, DACC 99.875, DGACC0.0625 
Epoch 33 , PSNR 6.492357416152954, MAE 0.9163911467790604, SSIM -0.2099002169072628 , GDL 3.043615276813507, TL 10.242463626861571, DL 0.4272347590327263, DACC 99.90625, DGACC0.0 
Epoch 34 , PSNR 6.44435932636261, MAE 0.9226437735557557, SSIM -0.20039643168449403 , GDL 3.0064538407325743, TL 10.17306040763855, DL 0.4202037221193314, DACC 100.0, DGACC0.0 
Epoch 35 , PSNR 6.458176054954529, MAE 0.9188153672218323, SSIM -0.20701103016734124 , GDL 2.9850861382484437, TL 10.155066461563111, DL 0.4179034313559532, DACC 99.96875, DGACC0.0 
Epoch 36 , PSNR 6.461082329750061, MAE 0.917531601190567, SSIM -0.20601204589009284 , GDL 2.975233163833618, TL 10.14783507347107, DL 0.41831437587738035, DACC 99.96875, DGACC0.0 
Epoch 37 , PSNR 6.440962200164795, MAE 0.9208119773864746, SSIM -0.1965500794351101 , GDL 2.9598033475875853, TL 10.125027551651002, DL 0.4162005272507667, DACC 99.96875, DGACC0.0 
Epoch 38 , PSNR 6.425782642364502, MAE 0.9226937901973724, SSIM -0.19576704531908035 , GDL 2.953487043380737, TL 10.106196584701538, DL 0.41388597786426545, DACC 99.96875, DGACC0.0 
Epoch 39 , PSNR 6.427466344833374, MAE 0.9231894463300705, SSIM -0.1964800101518631 , GDL 2.9215639996528626, TL 10.07573977470398, DL 0.4132510361075401, DACC 100.0, DGACC0.0 
Epoch 40 , PSNR 6.421296992301941, MAE 0.9232300728559494, SSIM -0.19625188291072845 , GDL 2.9156439518928527, TL 10.063919143676758, DL 0.41231591820716856, DACC 99.96875, DGACC0.0 
Epoch 41 , PSNR 6.42929141998291, MAE 0.9223630684614181, SSIM -0.19118771061301232 , GDL 2.913868772983551, TL 10.074335556030274, DL 0.4098958471417427, DACC 100.0, DGACC0.0 
Epoch 42 , PSNR 6.4372542142868046, MAE 0.9204206383228302, SSIM -0.1878971216082573 , GDL 2.9050627398490905, TL 10.074840517044068, DL 0.40961046040058136, DACC 99.96875, DGACC0.0 
Epoch 43 , PSNR 6.468896036148071, MAE 0.9164989256858825, SSIM -0.1906737941503525 , GDL 2.8948200273513796, TL 10.089541215896606, DL 0.40907591104507446, DACC 99.96875, DGACC0.0 
Epoch 44 , PSNR 6.487043828964233, MAE 0.9130289214849472, SSIM -0.0857290779799223 , GDL 2.9041099524497986, TL 10.218453540802003, DL 0.4083454781770706, DACC 100.0, DGACC0.0 
Epoch 45 , PSNR 6.530886144638061, MAE 0.9077240175008774, SSIM -0.02142339608632028 , GDL 2.8790603065490723, TL 10.296246995925904, DL 0.4151888883113861, DACC 99.96875, DGACC0.0 
Epoch 46 , PSNR 6.385225095748901, MAE 0.9277305364608764, SSIM -0.01661069821566343 , GDL 2.935352282524109, TL 10.23169726371765, DL 0.4117520135641098, DACC 100.0, DGACC0.0 
Epoch 47 , PSNR 6.566224446296692, MAE 0.9122530537843704, SSIM -0.1381716322246939 , GDL 2.7621235060691833, TL 10.10242938041687, DL 0.42304643034934997, DACC 99.90625, DGACC0.1875 
Epoch 48 , PSNR 6.358997836112976, MAE 0.9393382519483566, SSIM -0.05308123268187046 , GDL 2.9182628488540647, TL 10.163517723083496, DL 0.41614571809768675, DACC 100.0, DGACC0.0 
Epoch 49 , PSNR 6.25721378326416, MAE 0.952592967748642, SSIM -0.056482818834483625 , GDL 2.948148875236511, TL 10.101472826004029, DL 0.4144549453258514, DACC 99.96875, DGACC0.0 
